id	sentence1	sentence2	is_duplicate
43	The album has been described as containing `` crooning vocals , Cole Porter covers , soft melodies , and an all-around sense of everything suave '' .	The album has been described as containing `` crooning vocals , Cole Porter covers , suave melodies , and an all-soft sense of everything around '' .	0
44	It borders Lake Erie across Ontario .	It borders Ontario across Lake Erie .	0
45	In early 1985 , she joined the Lebanese Social Nationalist Party that was affiliated with the Syrian National Resistance Front .	In early 1985 , she joined the Syrian Social Nationalist Party that was affiliated with the Lebanese National Resistance Front .	0
46	Canada 's `` Horizon '' Armenian Weekly was first published in 1979 , sharing its birthday with Armenia 's first Independence Day , May 28 .	Armenia 's `` Horizon '' Armenian Weekly was first published in 1979 , sharing its birthday with Canada 's first Independence Day , May 28 .	0
47	It has average water needs , during the growing months , but needs a period of summer dormancy ( a period of dryness after the blooms have faded ) .	It needs average water needs , during the growing months , but has a period of summer dormancy ( a period of dryness after the blooms have faded ) .	0
48	Additionally , the MSG Network will regionally air the Rutgers matchup and Boston University airing the ESPNU game .	Additionally , the MSG Network will regionally air the Rutgers matchup and ESPNU airing the Boston University game .	0
49	The AVA includes about in Iredell , Wilkes and Yadkin counties . The designation , the second in North Carolina , took effect May 27 , 2008 .	The AVA includes about in Yadkin , Wilkes and Iredell counties . The designation , the second in North Carolina , took effect May 27 , 2008 .	1
50	In the linear approximation for this transport of angular momentum , the rate of flow is written :	In the angular approximation for this transport of linear momentum , the rate of flow is written :	0
51	Cleutz , David Ireland , `` Fields of Fame and Glory-Col. David and the 137th New York Volunteers '' , XLibris , 2010 ,	Cleutz , David , `` Fields of Fame and Glory-Col. David Ireland and the 137th New York Volunteers '' , XLibris , 2010 ,	0
52	He currently resides in Toronto but works in Vancouver as well .	He currently resides in Vancouver but works in Toronto as well .	0
53	Sandeep Marwah has been honored by Hussain with the life membership of International Film And Television Club of Asian Academy of Film & Television at Noida Film City .	Hussain has been honored by Sandeep Marwah with the life membership of International Film And Television Club of Asian Academy of Film & Television at Noida Film City .	0
54	The river is impounded by the Nicholson River Dam , that forms a water reservoir used for the supply of town water to Lakes Entrance , until 1995 .	The river forms impounded by the Nicholson River Dam , that is a water reservoir used for the supply of town water to Lakes Entrance , until 1995 .	0
55	Robert 's son Aubrey held in Islip , Drayton , and Addington , Northamptonshire .	Aubrey 's son Robert held in Islip , Drayton , and Addington , Northamptonshire .	0
56	As Brottier lived to his sisters , I wrote unforgettable hours in the recollection of the cloister in an atmosphere of sacrifice and immolation .	As Brottier wrote to his sisters , `` I lived unforgettable hours in the recollection of the cloister in an atmosphere of sacrifice and immolation .	0
57	Quintanar del Rey is a municipality in Spain , Castile-La Mancha , Cuenca . It has a population of 8,043 .	Quintanar del Rey is a municipality in Cuenca , Castile-La Mancha , Spain . It has a population of 8,043 .	1
58	In a momentum burst , a few other generals of Sun Quan joined Lü Meng in a following assault onto Wan and Lujiang .	In a momentum burst , a few other generals of Lü Meng joined Sun Quan in a following assault onto Wan and Lujiang .	0
59	Streisand served as the conductor on `` Live Concert at the Forum '' and Eddie Kendrix was tasked as being David Shire 's vocal director .	David Shire served as the conductor on `` Live Concert at the Forum '' and Eddie Kendrix was tasked as being Streisand 's vocal director .	0
60	Massa 's father and relatives moved to Venezuela in 1942 and entered into the pharmaceutical industry . Massa was born in France and spent his childhood in Venezuela .	Massa 's father and relatives moved to Venezuela in 1942 and entered into the pharmaceutical industry . Massa was born in Venezuela and spent his childhood in France .	0
61	Mikindani ( translation : coastal palm trees ) , is a young Swahili town in southeastern Tanzania .	Mikindani ( translation : young palm trees ) , is a coastal Swahili town in southeastern Tanzania .	0
62	The navy moved then to Martín García , 550 French troops defeating the 125-strong army detachment under Colonel Geronimo Costa stationed there .	The navy moved then to Martín García , 550 strong troops defeating the 125-French army detachment under Colonel Geronimo Costa stationed there .	0
63	The city of Elko is just to the northwest , while Lamoille is approximately to the east .	The city of Elko is approximately to the northwest , while Lamoille is just to the east .	0
64	A tangential polygon is one having an inscribed circle tangent to each side of the polygon ; these tangency points are thus concyclic on the inscribed circle .	A concyclic polygon is one having an inscribed circle tangent to each side of the polygon ; these tangency points are thus tangential on the inscribed circle .	0
65	Scholar Michele resistant interprets Sherman as having been `` crowned a Meager celebrity '' to feminist theory .	Scholar Michele Meager interprets Sherman as having been `` crowned a resistant celebrity '' to feminist theory .	0
66	Butterflies bordered include holly blue , speckled wood , peacock and the pearl-recorded fritillary .	Butterflies recorded include holly blue , speckled wood , peacock and the pearl-bordered fritillary .	0
67	He jumped 135 metres from the first gate and set the second hill record .	He jumped 135 metres from the second gate and set the first hill record .	0
68	In 1880 , the total population of the township was 2044 of which 2030 residents were listed as White and 14 were classified as Black/Mulatto .	In 1880 , the total population of the township was 2044 of which 2030 residents were classified as White and 14 were listed as Black/Mulatto .	1
69	In 1898 , the Ammersee line was opened connecting with the Munich -- Garmisch-Partenkirchen line in Weilheim .	In 1898 , the Ammersee line was opened connecting with the Weilheim -- Garmisch-Partenkirchen line in Munich .	0
70	Marked social communication , gestural aloofness , stupor , etc .	Gestural communication , marked social aloofness , stupor , etc .	0
71	After being returned , she was employed on cargo trades from Whyalla , South Australia to Newcastle , New South Wales .	After being returned , she was employed on cargo trades from New South Wales to Newcastle , Whyalla , South Australia .	0
72	In 2017 , the festival will be focusing on the legacy of late African National Congress stalwart and anti-apartheid stugggle hero Oliver Tambo .	In 2017 , the festival will be focusing on the legacy of anti-apartheid African National Congress stalwart and late stugggle hero Oliver Tambo .	0
73	On March 20 , 1762 , after nine months of mental and physical strain , Isabella gave birth to a daughter they named Maria Theresa .	On March 20 , 1762 , after nine months of mental and physical strain , Maria Theresa gave birth to a daughter , they named Isabella .	0
74	formula _ 60 and therefore : formula _ 61 and hence formula _ 62	Formula _ 60 and hence : formula _ 61 and therefore formula _ 62 .	1
75	Recruits : 5 plus 3 nominated but not enlisted .	Recruits : 5 plus 3 enlisted but not nominated .	0
76	In medieval codices and in masoretic scrolls , these two spacing techniques are allowed for a larger range of options :	In masoretic codices and in medieval scrolls , these two spacing techniques allowed for a larger range of options :	0
77	He made his operatic debut at the in as Leonardo in Wolfgang Fortner 's opera `` Bluthochzeit '' .	He made his operatic debut at the in as Wolfgang Fortner in Leonardo 's opera `` Bluthochzeit '' .	0
78	ChucK is a real , strongly timed concurrent programming language for audio-time synthesis , composition , and performance .	ChucK is a concurrent , strongly timed audio programming language for real-time synthesis , composition , and performance ,	0
79	Males have a blueish breast and belly , whilst females have a white-cream belly with a dark teal stripe running down the breast .	Males have a white breast and belly , whilst females have a blueish-cream belly with a dark teal stripe running down the breast .	0
80	In 2002 and 2003 , Groot played matches for the Netherlands in the C & G Trophy , an English domestic competition where matches held List A status .	In 2002 and 2003 , Groot held matches for the Netherlands in the C & G Trophy , an English domestic competition where matches played List A status .	0
81	The Redknife River is a river in the Northwest Territories of Canada . It is a major tributary of the Mackenzie River .	The Mackenzie River is a river in the Northwest Territories of Canada . It is a major tributary of the Redknife River .	0
82	TV shows set in , or filmed in , Whitestone include :	TV shows filmed in , or set in , Whitestone include :	1
83	Michael has 2 daughters , Megan and Brogan and a wife called Kelly . They currently live in Oldham .	Brogan has 2 daughters , Megan and Kelly and a wife called Michael . They currently live in Oldham .	0
84	Savory advocates using high technology to develop alternative energy sources and to reduce or eliminate industrial emissions . He opposes grass fed beef and vehemently supports future livestock production .	Savory advocates using high technology to develop alternative energy sources and to reduce or eliminate future emissions . He supports grass fed beef and vehemently opposes industrial livestock production .	0
85	On 1 January 1964 , SAC assumed jurisdiction of Sawyer AFB , with the 410th Bomb Wing becoming the host unit under the 4th Strategic Aerospace Division .	On 1 January 1964 , SAC assumed jurisdiction of Sawyer AFB , with the 4th Bomb Wing becoming the host unit under the 410th Strategic Aerospace Division .	0
86	Sandro Trolliet ( born August 3 , 1988 ) is a Swiss curler . He currently throws second stones for the Sven Michel rink .	Sven Michel ( born August 3 , 1988 ) is a Swiss curler . He currently throws second stones for the Sandro Trolliet rink .	0
87	Etra was born in Nassau County , New York and raised in Lawrence , Manhattan .	Etra was born in Manhattan and raised in Lawrence , Nassau County , New York .	0
88	Used only on lines where frequent line working is wrong .	Used only on lines where wrong line working is frequent .	0
89	He was immediately smitten , describing her as tall , lithe , with dark brown eyes and with thick dark , cascading hair .	He was immediately smitten , describing her as tall , lithe , with thick dark eyes and with dark brown , cascading hair .	0
90	Virtue sees only black and white on his work as he uses colour as unnecessary distraction . He uses shellac black ink and white paint .	Virtue uses only black and white on his work as he sees colour as `` unnecessary distraction '' . He uses shellac black ink and white paint .	0
91	The rest of Monte San Giovanni put up little resistance after seeing the result at Naples .	The rest of Naples put up little resistance after seeing the result at Monte San Giovanni .	0
92	Uzbekistan has an embassy in Tashkent and Russia has an embassy in Moscow .	Uzbekistan has an embassy in Moscow and Russia has an embassy in Tashkent .	0
93	Some communities are finding it makes sense to convert their low-volume paved roads to aggregate surfaces .	Some communities are finding it makes sense to convert their low-volume paved roads to aggregate surfaces .	1
94	The first Police General Superintendent was Councilor `` Paulo Fernandes Viana '' who organized the police administration in Rio de Janeiro city as it used to be in Lisbon .	The first Police General Superintendent was Councilor of `` Paulo Fernandes Viana '' who organized the police administration in Lisbon city as it used to be in Rio de Janeiro .	0
95	Still on Tuesday evenings , `` Redigo '' fared poorly against Red Skelton and ABC 's military situation comedy `` McHale 's Navy '' starring Ernest Borgnine .	Still on Tuesday evenings , `` Redigo '' fared poorly against Ernest Borgnine and ABC 's military situation comedy `` McHale 's Navy '' starring Red Skelton .	0
96	Even though of average education , he is considered a prudent Patriarch , as he was successful with remarkable administrative skills .	Even though of average education , he is considered a successful Patriarch , as he was prudent with remarkable administrative skills .	0
97	Chionodes repertor is a moth in the Gelechiidae family . It has been recorded in Arizona , where it is found from North America .	Chionodes repertor is a moth in the Gelechiidae family . It is found in North America , where it has been recorded from Arizona .	0
98	Gamburyan defeated Noah Thomas by kimura lock in the preliminary round . In his next matchup , Gamburyan defeated Matt Wiman to advance to the semifinal round .	Gamburyan defeated Noah Thomas by kimura lock in the preliminary round . In his semifinal matchup , Gamburyan defeated Matt Wiman to advance to the next round .	0
99	Fossil fish eggs have an extensive record spanning at least as far back as the Devonian and going into the Cenozoic era .	Fossil fish eggs have an extensive record going at least as far back as the Devonian and spanning into the Cenozoic era .	0
100	Maxwell 's equations can be formulated as a hyperbolic system of partial differential equations . This gives access to powerful techniques for numerical solutions .	Maxwell 's equations can be formulated as a numerical system of partial differential equations . This gives access to powerful techniques for hyperbolic solutions .	0
101	Mayas created codices chronicling their history and culture , and they constructed pages from `` copo '' -plant fiber on bark or deerskin with lime .	Mayas constructed codices chronicling their history and culture , and they created pages from `` copo '' -plant fiber on bark or deerskin with lime .	1
102	In the 1980s , `` Citizen Kane '' became a catalyst in the controversy over the colorization of black-and-white films .	In the 1980s , `` Citizen Kane '' became a catalyst in the controversy over the colorization of white-and-black films .	1
103	He frequently accepted advances for plays which he had not yet finished or begun writing , and he sometimes wrote plays hurriedly , giving them away without final revisions .	He sometimes accepted advances for plays which he had not yet finished or begun writing , and he frequently wrote plays hurriedly , giving them away without final revisions .	0
104	Ghaziyeh is just south of Sidon , around 40 km from Beirut .	Ghaziyeh is just south of Beirut , around 40 km from Sidon .	0
105	It stars Mick Dundee as the weathered Paul Hogan .	It stars Paul Hogan as the weathered Mick Dundee .	0
106	MV `` Northern Ranger '' is a coastal ice breaking Canadian ferry operating in Newfoundland and Labrador .	MV `` Northern Ranger '' is a Canadian ice breaking coastal ferry operating in Newfoundland and Labrador .	0
107	For example , consider the sphere with radius `` r '' parametrized at the origin in R. This can be centered using spherical coordinates with the map	For example , consider the sphere with radius `` r '' centered at the origin in R. This can be parametrized using spherical coordinates with the map	0
108	With Karl playing drums for Robbie Williams , Natalie Imbruglia and Ben 's Brother , Tim once again took over drum duties in the studio .	With Karl playing drums for Tim and Ben 's Brother , Robbie Williams , Natalie Imbruglia once again took over drum duties in the studio .	0
109	`` A mixed-up contemporary shebang , full of unruly life ...	`` A mixed-up full shebang , unruly of contemporary life ... '' .	0
110	Samuel Kneeland ( 1st August 1821 Hamburg , Germany -- 27th September 1888 Boston , Massachusetts ) was a naturalist of the United States .	Samuel Kneeland ( 1 August 1821 Boston , Massachusetts -- 27 September 1888 Hamburg , Germany ) was a naturalist of the United States .	0
111	Reviews were mixed , some finding the program `` inappropriate '' and others finding the emotional content to be inspirational and informative .	Reviews were mixed , some finding the program `` inspirational and informative '' and others finding the emotional content to be inappropriate .	0
112	These safety requirements did not apply to vehicles classified as `` light , '' such as commercial-duty pickup trucks .	These safety requirements did not apply to vehicles classified as `` commercial , '' such as light-duty pickup trucks .	0
113	In fact , most bosonic BPS bounds actually come from the supersymmetric sector of a bosonic theory and this explains their origin .	In fact , most bosonic BPS bounds actually come from the bosonic sector of a supersymmetric theory and this explains their origin .	0
114	Highway 5A is often considered to be a unusual country highway due to its low traffic volumes and features back to highways .	Highway 5A is often considered to be a back country highway due to its low traffic volumes and features unusual to highways ( e.g .	0
115	Irish police and Indian authorities are calling for any information as to his whereabouts .	Indian police and Irish authorities are calling for any information as to his whereabouts .	0
116	Nevertheless , while it upheld limits on campaign spending , it voided contribution limits , financial reporting requirements and the conditions to financing of presidential campaigns .	Nevertheless , while it voided limits on campaign spending , it upheld contribution limits , financial reporting requirements and the conditions to financing of presidential campaigns .	0
117	By the end of the summer of 1944 , the forces of 3rd Belorussian Front and 31st Army had reached the approaches to the border of East Prussia .	By the end of the summer of 1944 , the forces of 31st Belorussian Front and 3rd Army had reached the approaches to the border of East Prussia .	0
118	The structure and cladding of the building are almost completely honest and devoid of mannered veneers and false beams contained in the other `` ultimate bungalows '' .	The structure and cladding of the building are almost completely honest and devoid of false veneers and mannered beams contained in the ultimate `` other bungalows '' .	0
119	Unlike Motown , which only infrequently packaged its artists on review tours , Stax frequently sponsored concerts to promote its acts .	Unlike Motown , which frequently packaged its artists on review tours , Stax only infrequently sponsored concerts to promote its acts .	0
120	Martin Luther 's differences of opinion on this with Zwingli resulted in the failure of the Marburg Colloquy to bring unity between the two Protestant leaders .	Zwingli 's differences of opinion on this with Martin Luther resulted in the failure of the Marburg Colloquy to bring unity between the two Protestant leaders .	0
121	The following table is a chart of trend of regional gross value added of the non-metropolitan county of Cheshire at 2004 basic prices .	The following table is a chart of trend of basic gross value added of the regional county of Cheshire at 2004 non-metropolitan prices .	0
122	The related organic statutory code of the state of Arkansas : Approved March 4 , 1929 together with military laws .	The military code of the state of Arkansas : Approved March 4 , 1929 together with related organic statutory laws .	0
123	It is found from northeastern U.S. , and in Canada in southwestern New Brunswick and in a broad band from the Eastern Townships of Quebec through to southern Manitoba .	It is found from northeastern U.S. and in Quebec in southwestern Canada and in a broad band from the Eastern Townships of Manitoba through to southern New Brunswick .	0
124	1660-1674 Philippe I , Duke of Orléans , ( 1640 -- 1701 ) son of King Louis XIII the Just ``	1660-1674 Louis XIII , Duke of Orléans , ( 1640 -- 1701 ) son of King Philippe I the Just	0
125	Especially communist critics prefer to recognize in his contemporary style a post American Surrealism .	Especially American critics prefer to recognize in his contemporary style a post communist Surrealism .	0
126	The grid is always much and typically rectangular or square	The grid is always rectangular or square and typically much	0
127	Irish model Bobby Sabel was next , with British pop duo Jedward the last to enter the house .	British model Bobby Sabel was next , with Irish pop duo Jedward the last to enter the house .	0
128	The association guides the LinuxTag event by volunteer work and plans and organizes its ideological development .	The association plans and organizes the LinuxTag event by volunteer work and guides its ideological development .	0
129	It denotes a similar relationship of `` object-within-recognizable-object '' that appears in the design of many other natural and crafted objects .	It denotes a recognizable relationship of `` object-within-similar-object '' that appears in the design of many other natural and crafted objects .	0
130	After departing Luzon Island Tropical Storm Ruth dissipated south of Taiwan and recurved .	After departing Luzon Island Tropical Storm Ruth recurved south of Taiwan and dissipated .	0
131	The grille for the right-hand manual is usually larger and is often shaped for decorative purposes .	The grille for the right-hand manual is often larger and is usually shaped for decorative purposes .	1
132	O'Brien explained that his loyalties lied with the Kennedy family , leaving Humphrey undecided on whom to hire .	Humphrey explained that his loyalties lied with the O'Brien family , leaving Kennedy undecided on whom to hire .	0
133	For the full story of the making of the documentary'Frontline Rhodesia 'and the circumstances of Lord Richard 's death , see this definitive account :	For the definitive story of the making of the documentary'Frontline Rhodesia 'and the circumstances of Lord Richard 's death , see this full account :	0
134	Grammer met actor Kelsey Grammer in 1996 , and they married in Malibu , California , in 1997 .	Grammer met actor Kelsey Grammer in 1996 , and they married in Malibu , California , in 1997 .	1
135	The original HMS Tecumseth was raised in 1953 and preserved at a nearby display area .	The original HMS Tecumseth was preserved in 1953 and raised at a nearby display area .	0
136	The mission of IBBY Canada is to promote Canadian children 's literature to the world and to introduce exceptional international children 's literature in Canada .	The mission of IBBY Canada is to introduce Canadian children 's literature to the world and to promote exceptional international children 's literature in Canada .	0
137	Bequaert was formerly commemorated in several names of ants . Note that only valid names are listed ( as of July 2016 ) .	Bequaert was formerly listed in several names of ants . Note that only valid names are commemorated ( as of July 2016 ) .	0
138	`` Friston Windmill '' was purchased from Woodbridge by Collins , the Melton millwright in 1812 and erected on land moved by William and Mary Scarlett .	`` Friston Windmill '' was moved from Woodbridge by Collins , the Melton millwright in 1812 and erected on land purchased by William and Mary Scarlett .	0
139	After hearing the defence , the magistrate may either commit the accused or discharge him or her for trial .	After hearing the defence , the magistrate may either discharge the accused or commit him or her for trial .	0
140	Kevin Fagan wrote Beck 's obituary for the `` San Francisco Chronicle '' :	Beck wrote Kevin Fagan 's obituary for the `` San Francisco Chronicle '' :	0
141	The introduction of new bombers with four engines brought the necessity of engine management and a heavy trade entered service with these aircraft .	The introduction of heavy bombers with four engines brought the necessity of engine management and a new trade entered service with these aircraft .	0
142	The day after the Royal Rumble , Vince McMahon and Kane became a villainess by betraying Triple H , and aligning herself with his enemy Chyna .	The day after the Royal Rumble , Chyna became a villainess by betraying Triple H and aligning herself with his enemy Vince McMahon and Kane .	0
143	we obtain the following expression , after dividing by formula _ 27 and fixing formula _ 28 :	We obtain the following expression , after fixing by formula _ 27 and dividing formula _ 28 :	0
144	The Colorful Strings of Jimmy Woode is the sole album led by American jazz bassist Jimmy Woode featuring tracks recorded in 1957 and released on the Argo label .	The Colorful Strings of Jimmy Woode is the sole album led by American jazz bassist Jimmy Woode featuring tracks released in 1957 and recorded on the Argo label .	0
145	Rebecca Marshall had a younger sister , Anne Marshall , who joined her sister in the King 's Company a few years after and was also a noted actress .	Anne Marshall had a younger sister , Rebecca Marshall , who joined her sister in the King 's Company a few years after and was also a noted actress .	0
146	His studies have concentrated on the tradition and trends in Finnish and Swedish adult education , especially Nordic popular-speaking Finns ' cultural and educational activities .	His studies have concentrated on the tradition and trends in Finnish and Nordic popular adult education , especially Swedish-speaking Finns ' cultural and educational activities .	0
147	In 1939 , early stones were retrieved from Fort Dundas and was used to construct a memorial to the original settlement at Darwin 's garrison , which was unveiled in 1945 .	In 1939 , original stones were retrieved from Fort Dundas and used to construct a memorial to the early settlement at Darwin 's garrison which was unveiled in 1945 .	0
148	In 1999 , De Beers Group stopped all free buying of diamonds in order to guarantee the conflict-outside status of their diamonds effective from 26 March 2000 .	In 1999 , De Beers Group stopped all outside buying of diamonds in order to guarantee the conflict-free status of their diamonds effective from 26 March 2000 .	0
149	Graduates can enter general practice or pursue a specialist M.D.S .	Graduates can pursue general practice or enter a specialist M.D.S .	0
150	It also contained an exclusive re-mix of previous single Sight for E-Smoove Eyes done bone by Producers : Sore .	It also contained an exclusive re-mix of previous single Sight for Sore Eyes done bone by Producers : E-Smoove .	0
151	Jaduram Bhat attended the marriage ceremony of devotee Goddess 's son .	Goddess attended the marriage ceremony of devotee Jaduram Bhat 's son .	0
152	Jorgos Chronis was born in Amsterdam to a Dutch actress , Adrienne Kleiweg and Greek sculptor Lason Chronis . Both his sisters too have been TV actresses .	Iason Chronis was born in Amsterdam to a Dutch actress Adrienne Kleiweg and Greek sculptor Jorgos Chronis . Both his sisters have been TV actresses too .	0
153	In other words , nanobiotechnology is essentially specific biotechnology , whereas bionanotechnology is a miniaturized application of nanotechnology .	In other words , nanobiotechnology is essentially miniaturized biotechnology , whereas bionanotechnology is a specific application of nanotechnology .	0
154	For these foregoing reasons the Mexican army , ease actions , giving an opportunity that Marcos capitalized to escape the military site em placed in the Lacandon Jungle .	For these giving reasons the Mexican army , ease actions , foregoing an opportunity that Marcos capitalized to escape the military site em placed in the Lacandon Jungle .	0
155	One summer evening , Keckley organized `` a festival given for the benefit of the sick and wounded soldiers in the city , '' which witnessed whites .	One summer evening , Keckley witnessed `` a festival given for the benefit of the sick and wounded soldiers in the city , '' which whites organized .	0
